,G2 eSports,Liquid,2.0
,C9,Astralis,2.0
,C9,Astralis,3.0
,C9,TSM,2.0
,C9,TSM,2.0
,G2 eSports,fnatic,3.0
,G2 eSports,fnatic,2.0
,TSM,Luminosity,3.0
,TSM,Luminosity,3.0
,G2 eSports,Luminosity,2.0
,G2 eSports,Luminosity,3.0
,OpTic Gaming,Heroic,2.0
,Heroic,Cloud 9,3.0
,Immortals,Echo Fox,2.0
,G2 Esports,compLexity,2.0
,Team EnVyUs,CLG,3.0
,Team Liquid,Heroic,2.0
,Team EnVyUs,OpTic Gaming,3.0
,G2 Esports,Team Liquid,2.0
,Heroic,OpTic Gaming,3.0
,Escape Gaming,Epsilon,2.0
,Cloud9,FaZe Clan,2.0
,FaZe Clan,Astralis,3.0
,dignitas,SK Gaming,3.0
,,dignitas,2.0
,Cloud9,OpTic Gaming,2.0
,Cloud9,OpTic Gaming,2.0
,Cloud9,OpTic Gaming,3.0
,Immortals,SK Gaming,3.0
,Immortals,SK Gaming,3.0
,OpTic Gaming,FaZe Clan,3.0
,OpTic Gaming,FaZe Clan,2.0
,OpTic Gaming,FaZe Clan,2.0
,SK Gaming,dignitas,3.0
,SK Gaming,dignitas,3.0
,SK Gaming,dignitas,3.0
,OpTic Gaming,EnVyUs,3.0
,OpTic Gaming,EnVyUs,2.0
,SK Gaming,,3.0
,SK Gaming,Astralis,2.0
,Astralis,OpTic Gaming,2.0
,Astralis,OpTic Gaming,2.0
,The Mongolz,MVP Karnal,3.0
,dream[S]cape,Risky Gaming,2.0
,NEW4,MVP project,3.0
,Team Invictus,ALLGAMERS.,3.0
,Renegades,EHOME,2.0
,nxl>,Rascal Jester,3.0
,VG,Rebellion,2.0
,dream[S]cape,MVP Karnal,3.0
,Team Invictus,MVP project,3.0
,Rebellion,gogomyteam,3.0
,Risky Gaming,The Mongolz,3.0
,NEW4,AG,2.0
,nxl>,Renegades,3.0
,VG,MiTH,2.0
,dream[S]cape,Risky Gaming,2.0
,dream[S]cape,Risky Gaming,2.0
,NEW4,MVP project,3.0
,NEW4,MVP project,3.0
,EHOME,nxl>,2.0
,Rebellion,MiTH,3.0
,MiTH,Rebellion,2.0
,MVP project,The Mongolz,2.0
,MVP project,The Mongolz,2.0
,MiTH,Renegades,3.0
,MiTH,Renegades,3.0
,dream[S]cape,AG,3.0
,dream[S]cape,AG,3.0
,VG,nxl>,2.0
,VG,nxl>,2.0
,The Mongolz,Renegades,3.0
,The Mongolz,Renegades,2.0
,VG,dream[S]cape,2.0
,VG,dream[S]cape,2.0
,VG,Renegades,2.0
,VG,Renegades,3.0
,VG,Renegades,2.0
,eXaequo `,,3.0
,eSportsLab BLACK,,3.0
,,,2.0
,Team Romania CS:GO,5Frags.org eSports,3.0
,,,2.0
,,eXaequo `,3.0
,,eXaequo `,2.0
,,,2.0
,5Frags.org eSports,,2.0
,FINLAND IESF,,2.0
,,,3.0
,eXaequo `,,2.0
,,CS:GO Team Switzerland,3.0
,South Africa - CSGO,,3.0
,,,3.0
,,TEAMnxl>,3.0
,,TEAMnxl>,3.0
,mvpproject,tylooteam,2.0
,mvpproject,SignatureCSGO,2.0
,FINLAND,tylooteam,3.0
,FMESPORTS,VG.CyberZEN,3.0
,ENDPOINT,VG.CyberZEN,3.0
,CAZeSports,TYLOO,3.0
,FMESPORTS,TYLOO,3.0
,ENZO,VG.CyberZEN,3.0
,ENZO,VG.CyberZEN,2.0
,Splyce,MVP PK,2.0
,Splyce,MVP PK,3.0
,VG.CyberZEN,Kinguin,3.0
,VG.CyberZEN,Kinguin,2.0
,Splyce,4dimensioN eTROVE,3.0
,Splyce,4dimensioN eTROVE,3.0
,4dimensioN eTROVE,Kinguin,3.0
,4dimensioN eTROVE,,3.0
,VG.CyberZEN,Heroic,3.0
,iGame,VG.CyberZEN,3.0
,LGR,Outlaws,3.0
,Planetkey Dynamics,x6tence,3.0
,Dizlown,Team Singularity,3.0
,Planetkey Dynamics,Outlaws,2.0
,compLexity,Immortals,2.0
,Luminosity,NRG,3.0
,,Cloud9,2.0
,LG,Immortals,2.0
,compLexity,,3.0
,,NRG,2.0
,NRG,LG,3.0
,CLG,,3.0
,MISFIT-,paiN-,2.0
,MISFIT-,paiN-,3.0
,paiN-,CLG,3.0
,paiN-,CLG,2.0
,Cloud9,LG,3.0
,Cloud9,LG,2.0
,,Immortals,2.0
,CLG,,3.0
,,Cloud9,2.0
,Immortals,Cloud9,3.0
,LG,CLG,2.0
,LG,CLG,3.0
,CLG,Cloud9,2.0
,CLG,Cloud9,3.0
,Cloud9,Immortals,2.0
,Cloud9,,3.0
,Cloud9,Immortals,2.0
,eXtatus,BIG,2.0
,Singularity,Fnatic academy,3.0
,Defusekids,Dreamchasers,3.0
,Ambush,NRG,2.0
,iGame.com,Plantronic,2.0
,Ambush,Plantronic,2.0
,Fnatic academy,eFuture,2.0
,Ambush,Plantronic,2.0
,Fnatic academy,eFuture,2.0
,Singularity,Fnatic academy,3.0
,PRIDE,Defusekids,2.0
,eFuture,Singularity,2.0
,North Acd,LDLC,2.0
,North Acd,LDLC,3.0
,eFuture,Singularity,2.0
,epsilon,BIG,3.0
,Singularity,iGame.com,2.0
,Singularity,iGame.com,2.0
,NRG,Tricked,3.0
,Dreamchasers,,3.0
,Dreamchasers,Singularity,3.0
,Singularity,BIG,2.0
,OpTic Gaming,FaZe Clan,2.0
,SK Gaming,G2 Esports,2.0
,SK Gaming,FaZe Clan,3.0
,Fnatic,Cloud9,2.0
,Astralis,,3.0
,Astralis,Cloud9,3.0
,G2 Esports,,3.0
,G2 Esports,OpTic Gaming,3.0
,Team Liquid,Fnatic,2.0
,Team Liquid,Fnatic,2.0
,Team Liquid,Fnatic,2.0
,G2 Esports,FaZe Clan,3.0
,G2 Esports,FaZe Clan,2.0
,Team Liquid,Astralis,2.0
,Team Liquid,Astralis,3.0
,FaZe Clan,Cloud9,2.0
,FaZe Clan,Cloud9,2.0
,Astralis,SK Gaming,3.0
,Astralis,SK Gaming,2.0
,Astralis,SK Gaming,3.0
,FaZe Clan,,3.0
,FaZe Clan,SK Gaming,3.0
,FaZe Clan,SK Gaming,3.0
,The Gatekeepers,PENTA Sports,2.0
,The Gatekeepers,PENTA Sports,2.0
,Outlaws,Team Kinguin,3.0
,RED Reserve,Fnatic Academy,3.0
,Space Soldiers,The Gatekeepers,3.0
,Space Soldiers,The Gatekeepers,3.0
,RED Reserve,Team Kinguin ,2.0
,RED Reserve,Space Soldiers,2.0
