2300634-2,16,Astralis,EnVyUs,3,6800,-1500,0,5,8,14,3,4
2300635-0,1,CLG,dignitas,2,-9850,-300,1,0,10,6,3,4
2300635-0,16,dignitas,CLG,2,-9850,-600,1,2,2,2,4,4
2300637-0,1,Astralis,CLG,2,-9850,-600,2,0,10,6,3,4
2300637-0,16,CLG,Astralis,3,10450,2100,1,1,3,2,4,3
2300637-1,1,CLG,Astralis,3,10750,2400,0,0,7,6,4,5
2300637-1,16,Astralis,CLG,2,-10750,-2400,1,2,8,1,3,4
2300638-0,1,EnVyUs,dignitas,3,6800,300,2,0,8,5,3,5
2300638-0,16,dignitas,EnVyUs,3,10750,-700,0,1,3,3,4,4
2300638-1,1,EnVyUs,dignitas,3,10450,2400,1,0,6,5,4,5
2300638-1,16,dignitas,EnVyUs,3,10450,1200,0,0,9,5,2,4
2300638-2,1,EnVyUs,dignitas,3,7100,1200,1,0,7,5,4,5
2300638-2,16,dignitas,EnVyUs,3,7400,600,0,2,3,2,4,4
2301818-0,1,Ninjas in Pyjamas,Flipsid3 Tactics,3,8300,2400,1,0,3,4,4,3
2301818-0,16,Flipsid3 Tactics,Ninjas in Pyjamas,3,7100,600,1,1,5,2,3,4
2301822-0,1,mousesports,Luminosity Gaming,2,-10450,-1200,0,0,3,3,4,4
2301822-0,16,Luminosity Gaming,mousesports,3,10450,2400,1,0,4,3,3,4
2301823-0,1,Team Liquid,FaZe Clan,2,-7450,-1200,0,0,4,3,4,4
2301823-0,16,FaZe Clan,Team Liquid,2,-10450,300,3,0,5,3,4,3
2301824-0,1,Fnatic,Splyce,2,-10450,-1800,0,0,3,1,4,5
2301824-0,16,Splyce,Fnatic,2,-11050,9000,1,0,3,4,4,3
2301826-0,1,Astralis,Gambit Gaming,2,-10750,-2100,2,0,5,2,3,4
2301826-0,16,Gambit Gaming,Astralis,2,-9850,-1200,0,0,6,3,3,4
2301827-0,1,Natus Vincere,Cloud9,3,7100,1800,0,0,2,5,4,3
2301827-0,16,Cloud9,Natus Vincere,3,10450,2100,3,0,7,1,3,4
2301828-0,1,Virtus.Pro,G2 Esports,2,-10500,-300,1,0,8,1,2,4
2301828-0,16,G2 Esports,Virtus.Pro,3,9550,2400,4,0,1,7,5,3
2301840-0,1,mousesports,Flipsid3 Tactics,3,10750,2400,0,0,3,2,4,4
2301840-0,16,Flipsid3 Tactics,mousesports,3,6800,0,0,0,6,4,3,4
2301841-0,1,Ninjas in Pyjamas,Luminosity Gaming,2,-10500,300,1,0,1,3,4,4
2301841-0,16,Luminosity Gaming,Ninjas in Pyjamas,2,-9850,-1800,0,4,4,4,4,4
2301844-0,1,FaZe Clan,Splyce,2,-10450,-600,0,0,5,4,4,3
2301844-0,16,Splyce,FaZe Clan,3,10450,3000,1,0,14,1,5,5
2301845-0,1,Team Liquid,Fnatic,3,7400,1800,0,0,3,1,4,4
2301845-0,16,Fnatic,Team Liquid,3,10650,-300,1,0,5,4,3,3
2301850-0,1,Team EnVyUs,Gambit Gaming,3,7100,1500,1,0,2,6,4,3
2301850-0,16,Gambit Gaming,Team EnVyUs,2,-10750,1500,5,0,7,3,5,3
2301851-0,1,Astralis,Counter Logic Gaming,3,10450,2100,1,0,4,1,4,4
2301851-0,16,Counter Logic Gaming,Astralis,3,7700,1200,1,1,4,5,3,4
2301852-0,1,Cloud9,G2 Esports,3,10450,1200,0,0,7,1,3,5
2301852-0,16,G2 Esports,Cloud9,2,-10450,-1200,0,0,4,3,4,4
2301853-0,1,Natus Vincere,Virtus.Pro,2,-10150,-600,1,0,2,6,4,3
2301853-0,16,Virtus.Pro,Natus Vincere,3,7100,300,2,0,11,1,1,4
2301858-0,1,Ninjas in Pyjamas,mousesports,2,-10450,-300,1,0,1,4,4,3
2301858-0,16,mousesports,Ninjas in Pyjamas,3,9850,600,2,0,5,2,3,4
2301858-1,1,Ninjas in Pyjamas,mousesports,3,8000,2400,0,0,3,2,4,4
